3 06h41'05'' PERRIER NICOLAS SEM LES TZEUBLETS  Les Défis du Jubilé de St-Maurice 14/10/2017
11463 01h49'16'' PERRIER NICOLAS SEM    20 km de Paris 8/10/2017
5924 57'19'' PERRIER NICOLAS SEM    Run in Lyon - 10 km de Lyon 1/10/2017
1793 01h38'56'' PERRIER NICOLAS V1M    Run in Lyon - Semi-Marathon de Lyon 1/10/2017
1769 04h22'54'' PERRIER NICOLAS SEM    Run in Lyon - Marathon de Lyon 1/10/2017
5 39'30'' PERRIER NICOLAS SEM Uriage running // Team hoka elite  La Wider Classic 24/9/2017
81 01h51'31'' PERRIER NICOLAS SEM    L'Orrygeoise - 20 km 17/9/2017
8 33'31'' PERRIER NICOLAS SEM Uriage Running Athletisme  Courir à Grenoble - 10 km 10/9/2017
1 02h23'45'' PERRIER NICOLAS SEM RUNNING PLANET GENEVE / TRAILEURS DES MONTS D'OR  Trail du Ramequin 3/9/2017
20 05h50'20'' PERRIER NICOLAS SEM    Orsières - Champex - Chamonix 31/8/2017
260 34h47'24'' PERRIER NICOLAS V1M Point Trop N39en Faut Balma (  Le Grand Raid des Pyrénées - Le Tour des Cirques 25/8/2017
37 04h41'29'' PERRIER NICOLAS SEM Team Hoka Elite  Trail Ubaye Salomon - 42 km 6/8/2017
4 07h56'50'' PERRIER NICOLAS SEM    Trail Verbier St-Bernard - Traversée 61 km 9/7/2017
12 02h17'44'' PERRIER NICOLAS V2M ASPH TRIATHLON"  Triathlon du Lac du Salagou M 10/6/2017
4 03h39'43'' PERRIER NICOLAS SEM MONTHEY  Trail de la Pierre A Voir 10/6/2017
482 03h24'23'' PERRIER NICOLAS SEM ASSOCIATION NEUVILLE ATHLETISM  Les Voleurs de Temps - 32 km 4/6/2017
38 01h15'56'' PERRIER NICOLAS SEM Uriage Running  Championnats de France de Course en Montagne Masculins (Culoz) 4/6/2017
38 01h15'56'' PERRIER NICOLAS SEM URIAGE RUNNING  La Montée du Grand Colombier 4/6/2017
835 03h07'25'' PERRIER NICOLAS SEM    FestaTrail - Tour du Pic St Loup 21/5/2017
534 01h24'36'' PERRIER NICOLAS ESM BAYONVILLERS  La Transbaie 14/5/2017
1 50'51'' PERRIER NICOLAS SEM Uriage Running / Team Hoka  Uriage Trail Running - 11 km 14/5/2017
534 01h24'36'' PERRIER NICOLAS ESM BAYONVILLERS  La Transbaie 14/5/2017
112 01h57'27'' PERRIER NICOLAS SEM    The Trail Sens - 18 km 13/5/2017
3 02h59'21'' PERRIER NICOLAS SEM Traileurs des Monts d'Or  Be Run - Marathon Solo 13/5/2017
10 03h10'38'' PERRIER NICOLAS SEM Team Hoka  Skyrace des Matheysins 8/5/2017
5 02h36'34'' PERRIER NICOLAS SEM RUNNING PLANET GENèVE / TRAILEURS  Trail du Laudon - 28 km 23/4/2017
192 11h13'23'' PERRIER NICOLAS V1M Point Trop N En Faut Balma (31  Trail des Citadelles - 70 km 16/4/2017
963 01h36'59'' PERRIER NICOLAS SEM Association Neuville Athlétisme  Semi-Marathon de Bordeaux Métropole 15/4/2017
218 05h56'01'' PERRIER NICOLAS V1M    Brive Tulle Nature - 44 km - Trail 9/4/2017
6 01h48'52'' PERRIER NICOLAS SEM Traileurs des Monts d'Or / Running Planet Geneve  Lyon Urban Trail - 23 km 2/4/2017
2 01h13'58'' PERRIER NICOLAS SEM    WITT - Trail Blanc du Sappey - 16 km 18/2/2017
20 01h56'38'' PERRIER NICOLAS V1M    La Transjurassienne 76 12/2/2017
37 04h48'39'' PERRIER NICOLAS V1M Point Trop N  Forest Trail 31 - 42 km 4/2/2017
372 05h25'06'' PERRIER NICOLAS SEM Association Neuville Athletism  Trail Hivernal du Sancy - 30 km 15/1/2017
1 58'31'' PERRIER NICOLAS SEM    Trail nocturne des Rois 14/1/2017
1 01h11'31'' PERRIER NICOLAS SEM    Trail blanc des 7 Laux - 16 km 17/12/2016
1 01h11'31'' PERRIER NICOLAS SEM    Trail blanc des 7 Laux - 8 km 17/12/2016
273 44'53'' PERRIER NICOLAS SEM Association Neuville Athletism  La Course des Trois Ponts 10/12/2016
21 04h29'34'' PERRIER NICOLAS V1M POINT TROP N'EN FAUT  Trail du Pastel - 42 km 11/11/2016
231 02h08'27'' PERRIER NICOLAS SEM Association Neuville Ath  Les Carrières by Night 5/11/2016
1154 01h23'56'' PERRIER NICOLAS SEM    Lyon Urban Trail LUT by Night - 12 km 5/11/2016
7 03h38'17'' PERRIER NICOLAS SEM    Marathon du Larzac 21/10/2016
3 02h25'14'' PERRIER NICOLAS SEM TEAM RUNNING  Trail du Cassoulet - 32 km 2/10/2016
21 35'59'' PERRIER NICOLAS SEM TEAM HOKA ONE ONE/CHAMROUSSE  La Verticale du Grand Serre 2/10/2016
2119 01h41'35'' PERRIER NICOLAS V1M    Run in Lyon - Semi-Marathon de Lyon 2/10/2016
2119 01h41'35'' PERRIER NICOLAS V1M    Run in Lyon - Semi-Marathon de Lyon 2/10/2016
19 02h17'31'' PERRIER NICOLAS SEM    La Skyrhune - Pottoken Lasterka 24/9/2016
1 38'38'' PERRIER NICOLAS SEM Team Hoka / Uriage Running  Ultra Tour des 4 Massifs - Km Vertical 18/8/2016
1 01h08'20'' PERRIER NICOLAS SEM    Alpe d'Huez 21 15/8/2016
1 03h43'29'' PERRIER NICOLAS SEM Team Hoka  Trail Ubaye Salomon - 42 km 7/8/2016
1 02h14'26'' PERRIER NICOLAS SEM    Petit Trail de l’Etendard 31/7/2016
1 02h17'49'' PERRIER NICOLAS SEM    Le Pic de l'Alpe 14/7/2016
47 09h58'03'' PERRIER NICOLAS SEM    Trail Verbier St-Bernard - 60 km 10/7/2016
2 04h03'08'' PERRIER NICOLAS SEM Team Hoka France  Sky Race de Montgenevre - 38 km 9/7/2016
96 05h18'30'' PERRIER NICOLAS SEM Team New Balance  Marathon du Mont-Blanc 26/6/2016
413 01h25'23'' PERRIER NICOLAS JUM    La Transbaie 26/6/2016
195 08h18'12'' PERRIER NICOLAS V1M    Saint-Lary Patou Trail - Skymarathon 26/6/2016
413 01h25'23'' PERRIER NICOLAS JUM    La Transbaie 26/6/2016
3 02h19'19'' PERRIER NICOLAS SEM    Le Défi des 3 Villards en Oisans 18/6/2016
1 03h34'12'' PERRIER NICOLAS SEM NEW BALANCE / RUNNING CONSEIL  Desperado Trail - 34 km 11/6/2016
1 02h27'56'' PERRIER NICOLAS SEM Uriage Running  Uriage Trail Running - 30 km 29/5/2016
13 02h57'35'' PERRIER NICOLAS SEM Team Hoka - Uriage Running  Skyrace des Matheysins 8/5/2016
1 11h42'30'' VERIEN SAMY SEM Coureurs De Fond Villeneuvois  Ultra Trans Aubrac - 105 km 23/4/2016
8465 03h43'50'' PERRIER NICOLAS SEM Amicale De Neuville Athletisme  Marathon de Paris 3/4/2016
1 02h19'56'' HRIOUED ALAA SEM Coquelicot 42  Marathon Métropole 20/3/2016
1 02h01'41'' BELHAJ HAMID V1M Massilia Marathon  Eco-Trail de Paris® Ile de France - 30 km 19/3/2016
5956 01h39'44'' PERRIER NICOLAS SEM Amicale De Neuville Athletisme  Semi-Marathon de Paris 6/3/2016
1 01h51'56'' SARRAN GEOFFROY SEM TEAM ISOSTAR  Gruissan Phoebus Trail - 25 km 14/2/2016
1 03h58'00'' PLUYAUD MICHAEL SEM TEAM ENDURANCE SHOP  Grand-Brassac Hivernal Extreme Trail 6/2/2016
1 02h09'56'' BOUCHERIT MATHIEU SEM Ale Echirolles  Trail de la Galinette - Brèche du Mont Julien 31/1/2016
199 38'49'' PERRIER NICOLAS SEM    La Corrida de la Saint Sylvestre - Clermont Ferrand 30/12/2015
24 01h10'59'' PERRIER NICOLAS V1M MONTPELLIER TRIATHLON  Trail de Cournonsec - 15 km 12/12/2015
4277 11h20'53'' PERRIER NICOLAS V1M    Saintélyon 6/12/2015
6 03h30'20'' PERRIER NICOLAS SEM    Saintexpress 6/12/2015
100 01h24'17'' PERRIER NICOLAS M Montpellier Agglo Triathlon"  20 km de Montpellier 29/11/2015
31 04h06'48'' PERRIER NICOLAS V1M    Trail du Pastel - 42 km 11/11/2015
1 53'07'' PERRIER NICOLAS SEM Running Conseil  Trail du Pastel - 14 km 11/11/2015
435 11h28'04'' PERRIER NICOLAS SEM    Le Grand Trail des Templiers 25/10/2015
22 01h49'28'' PERRIER NICOLAS SEM HOKA TEAM  La Chambérienne - 21 km 24/10/2015
3 22'22'' PERRIER NICOLAS M    Xpress - Le Saint Eynard 7/10/2015
4 02h12'02'' PERRIER NICOLAS SEM TEAM HOKA  Gap'en Cimes - Trail des Crêtes - 26 km 4/10/2015
400 11h23'50'' PERRIER NICOLAS V1M    Trail du Sancy - 60 km 27/9/2015
3 38'43'' PERRIER NICOLAS SEM Team HOKA / Uriage Running  La Wider Classic 27/9/2015
1 01h08'04'' PERRIER NICOLAS SEM    Cross des Coteaux - 16 km 13/9/2015
4299 01h56'55'' PERRIER NICOLAS SEM    Semi-Marathon de Lille Metropole 5/9/2015
650 03h45'36'' PERRIER NICOLAS SEM    Triathlon du Château de Chantilly CD 29/8/2015
38 14h50'44'' PERRIER NICOLAS SEM    Courmayeur - Champex - Chamonix 28/8/2015
5 04h05'28'' PERRIER NICOLAS SEM    Trail Ubaye Salomon - 42 km 9/8/2015
2 02h32'57'' PERRIER NICOLAS SEM Team Hoka  Trail de Vars - 22 km 2/8/2015
1 24'15'' PERRIER NICOLAS SEM team hoka  Trail de Vars - KM Vertical 1/8/2015
2 01h05'39'' PERRIER NICOLAS SEM Team Running Conseil  Luchon Aneto Trail - La Ravi Sente 12/7/2015
15 09h09'05'' PERRIER NICOLAS SEM TEAM HOKA ONE ONE  Ice Trail Tarentaise 12/7/2015
7 02h15'33'' PERRIER NICOLAS SEM    Trail de la Vallée Verte 5/7/2015
1 03h13'16'' PERRIER NICOLAS SEM    Trail et Rando des Lacs de Chamrousse - 28 km 4/7/2015
13 34'57'' PERRIER NICOLAS SEM    La Corrida de Toulouse - 10 km 3/7/2015
4 05h00'09'' PERRIER NICOLAS SEM Team Hoka One One  Trail du Pays de la Meije 21/6/2015
57 01h50'39'' PERRIER NICOLAS V1M    Trail du Vieux Lavoir - 21 km 21/6/2015
15 01h26'44'' PERRIER NICOLAS S2M    La Montée du Puy-de-Dôme 20/6/2015
4 01h16'45'' PERRIER NICOLAS SEM Team Hoka/Uriage Running  Uriage Trail Running - 17 km 24/5/2015
38 01h55'36'' PERRIER NICOLAS V1M TO BE SPORT  FestaTrail - Tour du Pic St Loup 17/5/2015
7 04h14'36'' PERRIER NICOLAS SEM    Trail de l'Améthyste - 42 km 3/5/2015
3158 02h15'33'' PERRIER NICOLAS SEM    Semi-Marathon de Nice - 21 km 26/4/2015
12 01h41'02'' PERRIER NICOLAS SEM    Lyon Urban Trail - 23 km 19/4/2015
3 01h06'55'' PERRIER NICOLAS SEM Xttr63  La Romagnatoise - 16 km 19/4/2015
20 43'19'' PERRIER NICOLAS V1M TOBESPORT  Les Boucles de Maguelone - 10 km 12/4/2015
11 02h10'35'' PERRIER NICOLAS SEM XTTR63  Trail des Piqueurs - 23 km 22/3/2015
4 52'50'' PERRIER NICOLAS SEM Xttr 63  Trail des Côtes de Cournon - 12,5 km 8/3/2015
185 40'12'' PERRIER NICOLAS V1M    10 km des Pyramides 1/3/2015
200 05h43'25'' PERRIER NICOLAS SEM XTTR63  Trail de Vulcain - 42 km 1/3/2015
204 14h39'05'' PERRIER NICOLAS V1M    Trail de Vulcain Ultra - 80 km 1/3/2015
6 02h02'33'' PERRIER NICOLAS SEM Brooks  Gruissan Phoebus Trail - 25 km 15/2/2015
1 55'31'' PERRIER NICOLAS SEM    Forest Trail 31 - 12 km 7/2/2015
1 56'43'' PERRIER NICOLAS SEM team running Olivan  Trail nocturne des Rois 17/1/2015
1 48'23'' PERRIER NICOLAS SEM    Trail des Côteaux de Bellevue - 12 km 11/1/2015
11 03h39'21'' PERRIER NICOLAS SEM    Saintexpress 7/12/2014
1 01h50'35'' PERRIER NICOLAS SEM    La Sange Run - 22 km 16/11/2014
2 01h34'19'' PERRIER NICOLAS SEM    Trail du Pastel - 25 km 11/11/2014
12 02h31'54'' PERRIER NICOLAS   XTTR63  Trail du Roc du Diable - 23 km 9/11/2014
1929 15h26'39'' PERRIER NICOLAS SEM    Les Templiers 26/10/2014
5 01h02'25'' PERRIER NICOLAS SEM SKI DE FOND CHAMROUSSE  Cross des Châtaignes - 15 km 12/10/2014
2 08'54'' PERRIER NICOLAS SEM    XPress - Bastille 8/10/2014
1465 01h40'22'' PERRIER NICOLAS V1M    Semi-Marathon de Lyon 5/10/2014
12301 01h33'21'' PERRIER NICOLAS SEM    Paris-Versailles 28/9/2014
1 03h04'03'' CHARTOIRE FABIEN SEM RUNNING SHOP  Trail du Sancy - 34 km 7/9/2014
25 03h58'06'' PERRIER NICOLAS SEM    Trail du Sancy - 34 km 7/9/2014
3834 01h56'36'' PERRIER NICOLAS SEM    Semi-Marathon de Lille Metropole 6/9/2014
13 13h35'05'' PERRIER NICOLAS SEM ALE  Courmayeur - Champex - Chamonix 29/8/2014
12 06h28'11'' PERRIER NICOLAS SEM Ale  La 6000 D 26/7/2014
109 06h53'38'' PERRIER NICOLAS SEM    Aubrac Circus 22/6/2014
