3 34'15'' PERRIER NICOLAS SEM    Off - La Montée au Rachais 7/10/2009
23 01h15'36'' PERRIER NICOLAS SEM MONTHEY  Fully - Sorniot 27/9/2009
15 02h08'33'' PERRIER NICOLAS SEM    Cross du Mont-Blanc 27/6/2009
8 37'51'' PERRIER NICOLAS SEM SAINT MARTIN D'HERES  La Corrida de Sassenage 9/11/2008
1 41'55'' PERRIER NICOLAS SEM    Toussitrail - 12 km 9/11/2008
4 58'40'' PERRIER NICOLAS SEM    Cross des Châtaignes 12/10/2008
3 01h46'47'' PERRIER NICOLAS SEM    Trail Ubaye Salomon - 21 km 10/8/2008
1 40'48'' PERRIER NICOLAS SEM    Toussitrail - 12 km 4/11/2007
5268 04h24'30'' PERRIER NICOLAS SEM    Marathon de La Rochelle 26/11/2006
3 38'53'' PERRIER NICOLAS ESM AVIRON U. N. LYON  La Course des 5 Clochers - 11 km 8/10/2006
277 03h09'11'' PERRIER NICOLAS ESM    Marathon de Lyon 23/4/2006


